pname,pmass,pradius
CoRoT-8 b,69.92215999999999,6.389129999999999
CoRoT-12 b,291.44827599999996,16.14096
CoRoT-18 b,1102.8631599999999,14.68379
Kepler-138 c,1.9705335999999998,1.199363
HD 97658 b,8.883292599999999,2.35389
HAT-P-36 b,587.4097095999999,14.313892999999998
Kepler-25 b,8.740269999999999,2.746205
Kepler-18 d,16.527055999999998,6.983207
Kepler-31 d,2161.2304,3.9007319999999996
Ross 458 c,1906.9679999999998,14.01125
Kepler-223 d,7.999730759999999,5.234603
Kepler-87 c,6.35656,6.142532
TOI-561 d,11.9503328,2.533234
KELT-9 b,915.3446399999999,21.196219
Qatar-9 b,378.21531999999996,11.309880999999999
KELT-21 b,1242.70748,17.777474
HATS-29 b,207.541684,14.022458999999998
CoRoT-26 b,165.27056,14.123339999999999
Kepler-56 c,181.16195999999997,9.796666
WASP-4 b,376.94400799999994,14.807089
WASP-133 b,368.68047999999993,13.56289
WASP-139 b,37.185876,8.9672
WASP-87 b,692.86504,15.524465
HATS-37 A b,31.464972,6.792654
HD 202772 A b,323.2310759999999,17.317905
HATS-1 b,589.57094,14.594118
Kepler-48 c,14.610553159999998,2.7125779999999997
Kepler-47 b,2.06906028,3.048848
Qatar-1 b,411.269432,12.811887
WASP-59 b,274.28556399999997,8.686975
K2-31 b,563.826872,11.88154
WASP-175 b,314.64971999999995,13.540472
TOI-157 b,375.03703999999993,14.414774
WASP-153 b,123.95291999999999,17.37395
WASP-123 b,285.727372,14.773462
HAT-P-40 b,152.55743999999999,17.037679999999998
Kepler-93 b,4.5449404,1.56926
Kepler-113 b,11.759635999999999,1.815858
K2-10 b,26.999488599999996,3.844687
Kepler-289 b,7.3100439999999995,2.152128
Kepler-305 b,10.488324,3.598089
Kepler-328 c,39.410672,5.402737999999999
WASP-74 b,228.83615999999998,15.244240000000001
HR 2562 b,9534.84,12.44199
WASP-178 b,527.59448,20.28829
TOI-1899 b,209.76648,12.890349999999998
HD 1397 b,131.89862,11.500434
HATS-24 b,718.2912799999999,15.636555
Kepler-23 c,858.1356,3.1945649999999994
Kepler-107 b,3.5088211199999995,1.535633
K2-237 b,392.835408,18.405178
K2-266 c,0.28922348,0.706167
HATS-31 b,279.68863999999996,18.382759999999998
TOI-1130 c,309.56447199999997,16.813499999999998
WASP-151 b,98.52667999999998,12.66617
K2-39 b,28.604519999999997,6.27704
K2-38 c,9.900342199999999,2.421144
CoRoT-23 b,889.9183999999999,11.76945
Kepler-21 b,5.07889144,1.6365139999999998
Kepler-77 b,136.66603999999998,10.760639999999999
2MASS J02192210-3925225 b,4417.8092,16.14096
HAT-P-52 b,259.983304,11.309880999999999
Kepler-417 b,11.12398,2.3090539999999997
WASP-66 b,746.8958,15.692599999999999
KELT-4 A b,286.680856,19.044091
TOI-216.01,199.99962555999997,11.287462999999999
HATS-38 b,23.519271999999997,6.882326
HAT-P-43 b,210.40213599999998,14.358728999999999
KELT-14 b,408.09115199999997,19.537287
HR 8799 e,3178.2799999999997,13.114529999999998
Kepler-9 c,29.901258239999997,8.081688999999999
Kepler-62 e,35.914564,1.6140959999999998
TrES-5 b,568.91212,13.383545999999999
WASP-34 b,177.98368,11.209
WASP-46 b,607.05148,13.159365999999999
WISEP J121756.91+162640.2 A b,6992.215999999999,10.469206
TOI-172 b,1722.6277599999999,10.816685
Kepler-131 b,16.209227999999996,2.409935
Kepler-411 c,26.398793679999997,4.416346
Kepler-79 b,10.901500399999998,3.47479
Kepler-35 b,40.364155999999994,8.160152
Kepler-62 f,34.961079999999995,1.412334
OGLE-TR-56 b,441.7809199999999,15.277866999999999
Kepler-47 d,19.01882752,7.039251999999999
WASP-190 b,317.828,12.890349999999998
WASP-114 b,562.2377319999999,15.008851
HAT-P-70 b,2154.8738399999997,20.96083
GJ 9827 d,4.03959388,2.01762
CoRoT-24 c,27.968863999999996,4.93196
Kepler-103 b,9.852668,3.373909
KELT-15 b,416.35468,19.50366
WASP-135 b,603.8731999999999,14.5717
Kepler-277 c,64.201256,3.3627
GJ 1132 b,1.6590621599999997,1.132109
Kepler-350 d,14.937916,2.80225
KELT-7 b,441.7809199999999,17.9344
HATS-69 b,183.38675599999996,10.592505
HATS-71 b,117.59635999999999,11.478016
AU Mic b,57.209039999999995,4.203374999999999
NGTS-5 b,72.782612,12.733423999999998
HAT-P-9 b,238.053172,15.614137
CoRoT-13 b,415.719024,9.919965
HAT-P-45 b,283.502576,15.984034
Kepler-20 b,9.700110559999999,1.871903
HR 8799 b,2224.796,13.4508
Kepler-102 c,3.00029632,0.5828679999999999
Kepler-11 b,1.906968,1.804649
Kepler-34 b,69.92215999999999,8.563676
Kepler-412 b,299.07614799999993,15.031269
WASP-56 b,143.02259999999998,10.53646
K2-290 b,10.901500399999998,3.060057
K2-266 b,11.2670026,3.2954459999999997
WASP-136 b,479.92028,15.468419999999998
K2-36 b,3.8997495599999996,1.434752
TRAPPIST-1 g,1.3412341599999997,1.132109
HN Peg b,6991.802823599999,11.780658999999998
Kepler-282 d,61.022976,2.454771
Kepler-539 b,308.29315999999994,8.373123
HATS-68 b,409.99812,13.809488
TOI-163 b,387.75015999999994,16.690201000000002
Kepler-595 c,3.29905464,1.00881
WASP-171 b,344.525552,10.98482
Qatar-4 b,1938.7507999999998,12.722215
Kepler-6 b,212.309104,14.616536
HD 219134 d,16.17108864,1.6140959999999998
WASP-1 b,271.42511199999996,16.622947
WASP-83 b,95.34839999999998,11.65736
WASP-69 b,92.17011999999998,12.44199
WASP-129 b,317.828,10.42437
HAT-P-69 b,1137.82424,18.786284
K2-146 b,5.77175648,2.051247
