pname,pmass,pradius,smass,steff
CoRoT-8 b,69.92215999999999,6.389129999999999,0.88,5080.0
CoRoT-12 b,291.44827599999996,16.14096,1.08,5675.0
CoRoT-18 b,1102.8631599999999,14.68379,0.95,5440.0
Kepler-138 c,1.9705335999999998,1.199363,0.52,3841.0
HD 97658 b,8.883292599999999,2.35389,0.89,5175.0
HAT-P-36 b,587.4097095999999,14.313892999999998,1.03,5620.0
Kepler-25 b,8.740269999999999,2.746205,1.19,6270.0
Kepler-18 d,16.527055999999998,6.983207,0.97,5345.0
Kepler-31 d,2161.2304,3.9007319999999996,1.21,6340.0
Ross 458 c,1906.9679999999998,14.01125,0.49,3621.0
Kepler-87 c,6.35656,6.142532,1.1,5600.0
TOI-561 d,11.9503328,2.533234,0.79,5455.0
KELT-9 b,915.3446399999999,21.196219,2.52,10170.0
Qatar-9 b,378.21531999999996,11.309880999999999,0.72,4309.0
KELT-21 b,1242.70748,17.777474,1.46,7598.0
HATS-29 b,207.541684,14.022458999999998,1.03,5670.0
CoRoT-26 b,165.27056,14.123339999999999,1.09,5590.0
Kepler-56 c,181.16195999999997,9.796666,1.32,4840.0
WASP-4 b,376.94400799999994,14.807089,0.86,5400.0
WASP-133 b,368.68047999999993,13.56289,1.16,5700.0
WASP-139 b,37.185876,8.9672,0.92,5310.0
WASP-87 b,692.86504,15.524465,1.2,6450.0
HATS-37 A b,31.464972,6.792654,0.84,5326.0
HD 202772 A b,323.2310759999999,17.317905,1.72,6272.0
HATS-1 b,589.57094,14.594118,0.99,5870.0
Kepler-48 c,14.610553159999998,2.7125779999999997,0.88,5194.0
Qatar-1 b,411.269432,12.811887,0.84,5013.0
WASP-59 b,274.28556399999997,8.686975,0.72,4650.0
K2-31 b,563.826872,11.88154,0.91,5280.0
WASP-175 b,314.64971999999995,13.540472,1.21,6229.0
TOI-157 b,375.03703999999993,14.414774,0.95,5404.0
WASP-153 b,123.95291999999999,17.37395,1.34,5914.0
WASP-123 b,285.727372,14.773462,1.17,5740.0
HAT-P-40 b,152.55743999999999,17.037679999999998,1.03,6080.0
Kepler-93 b,4.5449404,1.56926,1.09,5669.0
Kepler-113 b,11.759635999999999,1.815858,0.75,4725.0
K2-10 b,26.999488599999996,3.844687,0.92,5620.0
Kepler-289 b,7.3100439999999995,2.152128,1.08,5990.0
Kepler-328 c,39.410672,5.402737999999999,1.1,5914.0
WASP-74 b,228.83615999999998,15.244240000000001,0.98,5990.0
WASP-178 b,527.59448,20.28829,2.07,9360.0
TOI-1899 b,209.76648,12.890349999999998,0.63,3841.0
HD 1397 b,131.89862,11.500434,1.32,5521.0
HATS-24 b,718.2912799999999,15.636555,1.07,6125.0
Kepler-107 b,3.5088211199999995,1.535633,1.24,5854.0
K2-237 b,392.835408,18.405178,1.23,6099.0
K2-266 c,0.28922348,0.706167,0.69,4285.0
HATS-31 b,279.68863999999996,18.382759999999998,1.27,6050.0
TOI-1130 c,309.56447199999997,16.813499999999998,0.68,4250.0
WASP-151 b,98.52667999999998,12.66617,1.08,5871.0
K2-39 b,28.604519999999997,6.27704,0.66,4881.0
K2-38 c,9.900342199999999,2.421144,2.24,5757.0
